order_id,customer_id,order_date,order_status,total_amount,payment_method,customer_city,customer_state,product_category,customer_rating,delivery_days
ORD000001,CUST01127,2023-01-01 00:00:00.000000000,Delivered,208.44,Debit Card,Salvador,BA,Beauty,4,3
ORD000002,CUST01460,2023-01-01 03:30:16.923384676,Delivered,184.17,PayPal,Salvador,CE,Home & Garden,2,5
ORD000003,CUST00861,2023-01-01 07:00:33.846769353,Shipped,419.47,Credit Card,Sao Paulo,CE,Sports,4,13
ORD000004,CUST01295,2023-01-01 10:30:50.770154030,Delivered,151.9,Cash,Brasilia,DF,Books,4,12
ORD000005,CUST01131,2023-01-01 14:01:07.693538707,Delivered,371.91,Credit Card,Sao Paulo,BA,Books,5,8
ORD000006,CUST01096,2023-01-01 17:31:24.616923384,Delivered,65.15,Debit Card,Rio de Janeiro,SP,Clothing,5,2
ORD000007,CUST01725,2023-01-01 21:01:41.540308061,Delivered,476.67,Debit Card,Salvador,RJ,Sports,4,7
ORD000008,CUST01045,2023-01-02 00:31:58.463692738,Delivered,318.71,Credit Card,Brasilia,BA,Home & Garden,5,13
ORD000009,CUST01639,2023-01-02 04:02:15.387077415,Delivered,359.22,Credit Card,Salvador,CE,Sports,5,1
ORD000010,CUST00122,2023-01-02 07:32:32.310462092,Delivered,163.06,Debit Card,Sao Paulo,SP,Electronics,5,7
ORD000011,CUST00467,2023-01-02 11:02:49.233846769,Delivered,217.81,Credit Card,Sao Paulo,DF,Sports,5,1
ORD000012,CUST01239,2023-01-02 14:33:06.157231446,Delivered,127.41,Credit Card,Sao Paulo,DF,Home & Garden,5,4
ORD000013,CUST00331,2023-01-02 18:03:23.080616123,Delivered,467.62,Credit Card,Salvador,SP,Clothing,5,4
ORD000014,CUST01483,2023-01-02 21:33:40.004000800,Delivered,254.29,Debit Card,Brasilia,SP,Electronics,3,12
ORD000015,CUST00088,2023-01-03 01:03:56.927385477,Delivered,322.62,Credit Card,Brasilia,CE,Sports,5,5
