order_id,customer_id,order_date,order_status,total_amount,payment_method,product_category,customer_city,customer_rating,delivery_days
ORD00001,CUST1127,2023-01-01 00:00:00.000000000,Delivered,208.44,Debit Card,Books,Salvador,4,13
ORD00002,CUST1460,2023-01-01 03:30:16.923384676,Delivered,184.17,PayPal,Books,Rio de Janeiro,2,11
ORD00003,CUST0861,2023-01-01 07:00:33.846769353,Shipped,419.47,Credit Card,Electronics,Sao Paulo,4,5
ORD00004,CUST1295,2023-01-01 10:30:50.770154030,Delivered,151.9,Cash,Home & Garden,Sao Paulo,5,9
ORD00005,CUST1131,2023-01-01 14:01:07.693538707,Delivered,371.91,Credit Card,Electronics,Fortaleza,3,8
ORD00006,CUST1096,2023-01-01 17:31:24.616923384,Delivered,65.15,Debit Card,Clothing,Brasilia,5,3
ORD00007,CUST1725,2023-01-01 21:01:41.540308061,Delivered,476.67,Debit Card,Books,Salvador,1,1
ORD00008,CUST1045,2023-01-02 00:31:58.463692738,Delivered,318.71,Credit Card,Home & Garden,Rio de Janeiro,5,11
ORD00009,CUST1639,2023-01-02 04:02:15.387077415,Delivered,359.22,Credit Card,Books,Fortaleza,3,14
ORD00010,CUST0122,2023-01-02 07:32:32.310462092,Delivered,163.06,Debit Card,Electronics,Salvador,3,10
ORD00011,CUST0467,2023-01-02 11:02:49.233846769,Delivered,217.81,Credit Card,Electronics,Salvador,4,8
ORD00012,CUST1239,2023-01-02 14:33:06.157231446,Delivered,127.41,Credit Card,Electronics,Fortaleza,5,4
ORD00013,CUST0331,2023-01-02 18:03:23.080616123,Delivered,467.62,Credit Card,Books,Salvador,3,7
ORD00014,CUST1483,2023-01-02 21:33:40.004000800,Delivered,254.29,Debit Card,Home & Garden,Brasilia,4,4
ORD00015,CUST0088,2023-01-03 01:03:56.927385477,Delivered,322.62,Credit Card,Home & Garden,Salvador,1,7
ORD00016,CUST1397,2023-01-03 04:34:13.850770154,Delivered,372.45,Credit Card,Clothing,Rio de Janeiro,5,14
ORD00017,CUST1124,2023-01-03 08:04:30.774154830,Delivered,198.13,Credit Card,Books,Salvador,5,1
ORD00018,CUST0872,2023-01-03 11:34:47.697539507,Delivered,365.65,Credit Card,Clothing,Sao Paulo,5,1
ORD00019,CUST1688,2023-01-03 15:05:04.620924184,Shipped,344.48,PayPal,Beauty,Salvador,5,2
ORD00020,CUST0131,2023-01-03 18:35:21.544308861,Delivered,358.72,Cash,Clothing,Fortaleza,3,5
ORD00021,CUST1686,2023-01-03 22:05:38.467693538,Delivered,254.83,Credit Card,Clothing,Sao Paulo,5,11
ORD00022,CUST1333,2023-01-04 01:35:55.391078215,Delivered,203.81,Debit Card,Clothing,Fortaleza,3,14
ORD00023,CUST0770,2023-01-04 05:06:12.314462892,Delivered,126.6,Debit Card,Electronics,Rio de Janeiro,4,10
ORD00024,CUST0344,2023-01-04 08:36:29.237847569,Delivered,415.82,Debit Card,Beauty,Brasilia,5,6
ORD00025,CUST1516,2023-01-04 12:06:46.161232246,Delivered,312.01,Debit Card,Clothing,Rio de Janeiro,5,2
ORD00026,CUST1438,2023-01-04 15:37:03.084616923,Delivered,233.29,Credit Card,Home & Garden,Sao Paulo,3,1
ORD00027,CUST0806,2023-01-04 19:07:20.008001600,Delivered,473.12,Credit Card,Clothing,Brasilia,1,9
ORD00028,CUST0386,2023-01-04 22:37:36.931386277,Delivered,42.96,Credit Card,Electronics,Salvador,5,13
ORD00029,CUST1216,2023-01-05 02:07:53.854770954,Delivered,428.08,Credit Card,Sports,Sao Paulo,5,7
ORD00030,CUST0956,2023-01-05 05:38:10.778155631,Delivered,498.84,Debit Card,Beauty,Brasilia,2,8
ORD00031,CUST0277,2023-01-05 09:08:27.701540308,Shipped,445.73,Credit Card,Sports,Fortaleza,3,14
ORD00032,CUST1185,2023-01-05 12:38:44.624924985,Delivered,409.01,Credit Card,Sports,Brasilia,5,6
ORD00033,CUST0460,2023-01-05 16:09:01.548309661,Delivered,199.67,Credit Card,Beauty,Fortaleza,5,13
ORD00034,CUST1338,2023-01-05 19:39:18.471694338,Delivered,131.03,PayPal,Books,Fortaleza,5,9
ORD00035,CUST0022,2023-01-05 23:09:35.395079015,Shipped,372.73,PayPal,Home & Garden,Brasilia,4,8
ORD00036,CUST0253,2023-01-06 02:39:52.318463692,Delivered,166.2,Debit Card,Electronics,Rio de Janeiro,4,4
ORD00037,CUST0748,2023-01-06 06:10:09.241848369,Delivered,104.5,Credit Card,Beauty,Rio de Janeiro,4,5
ORD00038,CUST0857,2023-01-06 09:40:26.165233046,Delivered,397.53,Debit Card,Sports,Fortaleza,5,2
ORD00039,CUST1585,2023-01-06 13:10:43.088617723,Delivered,170.02,Credit Card,Electronics,Sao Paulo,3,1
ORD00040,CUST0475,2023-01-06 16:41:00.012002400,Delivered,458.93,Credit Card,Electronics,Brasilia,3,14
ORD00041,CUST1083,2023-01-06 20:11:16.935387077,Delivered,423.5,Credit Card,Books,Sao Paulo,2,6
ORD00042,CUST0511,2023-01-06 23:41:33.858771754,Delivered,426.87,Debit Card,Sports,Rio de Janeiro,5,3
ORD00043,CUST1706,2023-01-07 03:11:50.782156431,Delivered,390.35,Debit Card,Clothing,Sao Paulo,4,11
ORD00044,CUST1500,2023-01-07 06:42:07.705541108,Delivered,442.82,Cash,Electronics,Salvador,5,4
ORD00045,CUST0700,2023-01-07 10:12:24.628925785,Shipped,406.76,PayPal,Sports,Salvador,5,14
ORD00046,CUST0976,2023-01-07 13:42:41.552310462,Delivered,309.21,Credit Card,Electronics,Rio de Janeiro,5,1
ORD00047,CUST1807,2023-01-07 17:12:58.475695139,Delivered,161.99,Credit Card,Books,Sao Paulo,4,6
ORD00048,CUST0190,2023-01-07 20:43:15.399079816,Delivered,446.34,Credit Card,Books,Brasilia,5,8
ORD00049,CUST0958,2023-01-08 00:13:32.322464492,Processing,423.49,Debit Card,Clothing,Rio de Janeiro,4,14
ORD00050,CUST0687,2023-01-08 03:43:49.245849169,Delivered,246.98,Debit Card,Books,Salvador,3,10
ORD00051,CUST0958,2023-01-08 07:14:06.169233846,Processing,38.76,Cash,Sports,Rio de Janeiro,5,4
ORD00052,CUST0563,2023-01-08 10:44:23.092618523,Delivered,326.5,Debit Card,Beauty,Sao Paulo,1,10
ORD00053,CUST1900,2023-01-08 14:14:40.016003200,Delivered,44.29,PayPal,Books,Sao Paulo,5,8
ORD00054,CUST1591,2023-01-08 17:44:56.939387877,Delivered,464.61,Debit Card,Beauty,Sao Paulo,4,11
ORD00055,CUST1268,2023-01-08 21:15:13.862772554,Shipped,481.58,PayPal,Clothing,Fortaleza,5,10
ORD00056,CUST0832,2023-01-09 00:45:30.786157231,Delivered,110.96,Debit Card,Home & Garden,Sao Paulo,5,3
ORD00057,CUST1529,2023-01-09 04:15:47.709541908,Shipped,344.67,Debit Card,Electronics,Salvador,4,13
ORD00058,CUST1155,2023-01-09 07:46:04.632926585,Processing,64.29,Debit Card,Electronics,Salvador,5,11
ORD00059,CUST1509,2023-01-09 11:16:21.556311262,Delivered,370.17,Debit Card,Sports,Fortaleza,5,14
ORD00060,CUST1843,2023-01-09 14:46:38.479695939,Delivered,186.7,Credit Card,Clothing,Salvador,4,7
ORD00061,CUST0647,2023-01-09 18:16:55.403080616,Processing,346.9,Credit Card,Clothing,Salvador,4,3
ORD00062,CUST0021,2023-01-09 21:47:12.326465293,Delivered,198.98,Credit Card,Clothing,Rio de Janeiro,4,6
ORD00063,CUST0841,2023-01-10 01:17:29.249849970,Delivered,89.87,Credit Card,Electronics,Sao Paulo,5,4
ORD00064,CUST0167,2023-01-10 04:47:46.173234647,Delivered,214.93,Debit Card,Books,Rio de Janeiro,5,6
ORD00065,CUST1298,2023-01-10 08:18:03.096619323,Delivered,74.08,Credit Card,Electronics,Rio de Janeiro,5,7
ORD00066,CUST0388,2023-01-10 11:48:20.020004000,Processing,296.9,Credit Card,Electronics,Salvador,3,8
ORD00067,CUST0601,2023-01-10 15:18:36.943388677,Delivered,39.66,Credit Card,Electronics,Brasilia,2,14
ORD00068,CUST0316,2023-01-10 18:48:53.866773354,Delivered,273.11,Debit Card,Books,Sao Paulo,3,6
ORD00069,CUST0014,2023-01-10 22:19:10.790158031,Delivered,445.46,Credit Card,Home & Garden,Brasilia,3,4
ORD00070,CUST0242,2023-01-11 01:49:27.713542708,Delivered,422.18,Credit Card,Sports,Salvador,5,9
ORD00071,CUST0777,2023-01-11 05:19:44.636927385,Shipped,443.74,Credit Card,Home & Garden,Fortaleza,5,7
ORD00072,CUST1370,2023-01-11 08:50:01.560312062,Delivered,462.58,Credit Card,Home & Garden,Rio de Janeiro,4,9
ORD00073,CUST0565,2023-01-11 12:20:18.483696739,Delivered,70.17,PayPal,Electronics,Salvador,5,3
ORD00074,CUST0898,2023-01-11 15:50:35.407081416,Delivered,81.8,Credit Card,Home & Garden,Salvador,1,5
ORD00075,CUST1364,2023-01-11 19:20:52.330466093,Delivered,287.36,Debit Card,Electronics,Brasilia,5,1
ORD00076,CUST0092,2023-01-11 22:51:09.253850770,Processing,449.11,Debit Card,Electronics,Fortaleza,3,11
